user_id,age,gender,education_level,country,test_run_id,battery_id,specific_subtest_id,raw_score,time_of_day,grand_index
33833207,23.0,m,4.0,US,253294,14,30,7.0,20,112.65452133912028
33833207,23.0,m,4.0,US,253294,14,27,8.0,20,112.65452133912028
33833207,23.0,m,4.0,US,253294,14,26,332.0,20,112.65452133912028
33834049,53.0,m,4.0,US,731794,14,29,10.0,18,102.7199324257386
33834049,53.0,m,4.0,US,731794,14,28,5.0,18,102.7199324257386
33834049,53.0,m,4.0,US,731794,14,30,6.0,18,102.7199324257386
33834049,53.0,m,4.0,US,731794,14,27,9.0,18,102.7199324257386
33834049,53.0,m,4.0,US,731794,14,26,385.0,18,102.7199324257386
33835960,26.0,m,7.0,US,393396,14,29,23.0,20,147.44460284686352
33835960,26.0,m,7.0,US,393396,14,28,7.0,20,147.44460284686352
33835960,26.0,m,7.0,US,393396,14,30,18.0,20,147.44460284686352
33835960,26.0,m,7.0,US,393396,14,27,11.0,20,147.44460284686352
33835960,26.0,m,7.0,US,393396,14,26,391.0,20,147.44460284686352
33836326,30.0,f,7.0,US,243183,14,29,15.0,22,120.88354757346944
33836326,30.0,f,7.0,US,243183,14,28,7.0,22,120.88354757346944
33836326,30.0,f,7.0,US,243183,14,30,12.0,22,120.88354757346944
33836326,30.0,f,7.0,US,243183,14,27,9.0,22,120.88354757346944
33836326,30.0,f,7.0,US,243183,14,26,426.0,22,120.88354757346944
33836451,48.0,m,3.0,US,27555,14,29,17.0,19,106.25703489791638
33836451,48.0,m,3.0,US,27555,14,28,7.0,19,106.25703489791638
33836451,48.0,m,3.0,US,27555,14,30,11.0,19,106.25703489791638
33836451,48.0,m,3.0,US,27555,14,27,7.0,19,106.25703489791638
33836451,48.0,m,3.0,US,27555,14,26,551.0,19,106.25703489791638
33836846,35.0,f,3.0,US,261732,14,29,18.0,19,114.09152409284404
33836846,35.0,f,3.0,US,261732,14,28,5.0,19,114.09152409284404
33836846,35.0,f,3.0,US,261732,14,30,9.0,19,114.09152409284404
33836846,35.0,f,3.0,US,261732,14,27,9.0,19,114.09152409284404
33836846,35.0,f,3.0,US,261732,14,26,393.0,19,114.09152409284404
